新聞分類,新聞標題,日期
娛樂,專欄作家稱「台灣是中國的一部分」　《ELLE》發聲明火速切割,2025-03-08
生活,喊破喉嚨是真的！年輕人夜唱送急診　醫5症狀示警：小心氣胸,2025-03-08
體育,台美混血球星費柴德想來台！親吐經典賽是機會：就像美夢成真,2025-03-08
生活,又失言！經長郭智輝用「蒙古症」喻英特爾　2度道歉：深刻反省,2025-03-08
社會,快訊／幫王大陸出氣涉教唆傷害！四海幫堂主「小阿俊」被羈押禁見,2025-03-08
娛樂,劉至翰快看！江莉錦曾警告「別佔有我」竟無預警消失　全網大崩潰,2025-03-08
社會,36歲男陳屍包廂！5人「4hrs喝5瓶威士忌」　打烊才被發現斷氣,2025-03-08
國際,只因長得像「寶可夢」噴火龍　一小塊零食飆天價289萬競標成交,2025-03-08
社會,豪擲110萬尋愛犬！徵信社花半年找錯狗　貴婦怒告詐欺,2025-03-08
社會,快訊／大湖公園驚見浮屍　疑60多歲女性死因待查,2025-03-08
體育,大聯盟台美混血費柴德表態！經典賽願為台出戰：看我們有什麼表現,2025-03-08
國際,日本今明級大雪警報！東京積雪估達5公分　交通恐大亂,2025-03-08
娛樂,侯佩岑表態「中國台灣省」遭炎上　大陸網友反應曝,2025-03-08
國際,老電話藏洋蔥　日網友接電源後聽見過世母20年前錄音：捨不得丟了,2025-03-08
生活,韓國1款包包爆紅！無預警下殺1折　「疑標錯價」網瘋搶,2025-03-08
娛樂,圈粉歐美客！Energy神廟嗨跳16蹲　Toro揹牛奶突踉蹌好糗,2025-03-08
體育,HBL／陽明連5年止步4強！永仁外卡逆襲9連勝　喜奪冠軍戰門票,2025-03-08
政治,傳「下軍令」搶救葉元之　朱立倫：不是針對某位立委,2025-03-08
社會,偷開姊姊車夜遊烘爐地！少年「連撞17機車」家屬稱沒錢賠要告就告,2025-03-08
娛樂,台大法律正妹「畢業當偶像」被酸爆！幽默回應：想選總統粉絲會投我,2025-03-08
娛樂,張文綺鹽酥雞「年收破3500萬」！插旗9地拚上市　計畫凍卵找愛,2025-03-08
娛樂,愷樂出運了！揭萌兒「1舉動」急慶祝　曝近況突喊：腰已斷,2025-03-08
生活,徵才季！台積電逾200萬年薪搶才　國泰「數位人才」需求大增6成,2025-03-08
娛樂,兒子留學當實習教師！陳維齡盼「娶英國媳婦」天天通話　宋逸民反省這事,2025-03-08
生活,春天來了！「紅鸞星動」4生肖桃花運爆棚　他異性緣特別旺盛,2025-03-08
生活,老牌電影院撐不住了　梅花數位影院宣布4/30結束營業,2025-03-08
政治,抗癌2年不敵病魔！雲林水林鄉長許山埜病逝　縣府將指派代理,2025-03-08
社會,冬山對撞車禍！白車整輛側翻栽水溝　黑車轉一圈險摔,2025-03-08
娛樂,徐若瑄14歲入行扛家計！　經歷離婚、罹癌「鋼鐵V」吐心聲：不放過自己,2025-03-08
國際,MLB／投手大谷先等等！　總教練：東京賽後才會面對打者,2025-03-08
政治,罷免32:0！綠擬下鄉宣講　林俊憲曝「系統性動員」近日決定,2025-03-08
大陸,出席人大解放軍團組 習近平：深查腐敗問題,2025-03-08
生活,1台股ETF「崩盤下市」！　認了：全下櫃清算,2025-03-08
國際,韓國旅遊必看5大禁忌台灣人超常犯　「手拿飲料」上公車也不准,2025-03-08
政治,郭智輝失言！蒙古症喻英特爾後道歉　綠也不挺：就是歧視,2025-03-08
生活,電價方案台電推演3劇本！若未獲千億撥補　民生用電擬全面漲,2025-03-08
國際,美國15年來首度執行槍決　死囚拒坐電椅：不想被活活烤焦,2025-03-08
生活,這家銀行冠名JISOO巡演　3/10卡友優先購票,2025-03-08
社會,快訊／假日大塞車！國1神岡段5車追撞　2人受傷回堵中,2025-03-08
社會,雲云董座曾志新吞刀自殘送醫畫面曝光！　口吐鮮血癱坐擔架,2025-03-08
生活,38婦女節電商優惠》Momo、PChome、蝦皮，女王節優惠總整理,2025-03-08
生活,38婦女節優惠餐廳》速食、咖啡、手搖飲！買一送一優惠活動總整理,2025-03-08
娛樂,安心亞喜歡會直接告白！曝感情觀「轉變關鍵」：不會橫衝直撞,2025-03-08
娛樂,3月韓劇推薦追劇片單》6部韓劇必看，IU & 朴寶劍《苦盡柑來遇見你》話題度高,2025-03-08
娛樂,幻藍小熊曬驚人蜂蜜腰　最美高中生獲封「表情流氓」粉絲暴動了,2025-03-08
生活,星巴克買一送一！「要飲料提袋」店員竟甩桌　她疑：潛規則？,2025-03-08
社會,屏東學生過馬路惡劣駕駛「硬闖紅燈」　險撞導護老師、急剎車再衝,2025-03-08
國際,中國反擊！對加拿大豬肉、豌豆等商品　加徵最多100%關稅,2025-03-08
娛樂,大S猝逝1個月！具俊曄「精神狀態」惹憂　最新近況曝,2025-03-08
政治,大罷免恐斷賴清德連任？吳子嘉揭最新民調：2026「這都」是關鍵,2025-03-08
社會,有片／暗夜驚魂！台南女騎士失控滑撞2車　下秒起火2人送醫,2025-03-08
國際,中國才喊反擊！美財長貝森特：川普有信心他任內習近平不會打台灣,2025-03-08
生活,壞人當不了一點！3星座「太溫柔」被吃夠夠　雙魚人太好被騙慘,2025-03-08
國際,紐時爆盧比歐、馬斯克為裁員人數會議大吵　川普當和事佬,2025-03-08
社會,早知丈夫遭霸凌！雲云技術長慘死董座刀下　妻透露生前狀況,2025-03-08
娛樂,大S傳下葬金寶山！　S媽深夜「轉發7字」道盡喪女悲苦,2025-03-08
生活,郭智輝失言用「蒙古症」喻英特爾　智障家長總會抗議歧視,2025-03-08
體育,日本武士拚WBC罕見秋訓　記取12強對中華隊一教訓,2025-03-08
娛樂,專訪／王子一出道就走紅認了曾有「低潮期」　18年成長蛻變關鍵曝,2025-03-08
娛樂,專訪／陳華〈五月晚霞〉唱到怕　爆入行「3千元沒人要」焦慮落淚,2025-03-08
健康,長期吃奶油恐致癌？哈佛研究：改吃「它」可降低17%死亡風險,2025-03-08
社會,父失聯墜大甲溪成冰冷遺體　兒悲痛：他想去看台電電廠遺址,2025-03-08
大陸,習近平出席解放軍團組會 強調「深入查處腐敗」,2025-03-08
社會,雲云技術長遭砍死！律師一看離職信「揪出1問題」不對勁,2025-03-08
政治,2共機6共艦擾台　軍方預告中共3/10射火箭經我防空識別區,2025-03-08
大陸,王滬寧出席「台灣省代表團」 再強調塑造統一大勢,2025-03-08
社會,死掉就不吵了！鄰居狗吠叫聲害睡不著　台南男下藥毒死牠們,2025-03-08
娛樂,影音／王淨曝與王大陸「真實交情」　羞放閃認與曹佑寧夫妻臉,2025-03-08
娛樂,JENNIE新歌穿「Kitty比基尼」熱舞！水蛇腰全都露辣翻,2025-03-08
體育,NBA／輸湖人還受傷！布朗森「至少缺陣2週」　尼克後場拉警報,2025-03-08
娛樂,影音／薔薔嗆NanaQ「誰會PO可恥的東西」　駁斥性騷曝真相,2025-03-08
社會,有片／行人地獄再現桃園　小客車左轉「撞飛2女童」書包散一地,2025-03-08
娛樂,才反擊薔薔！　NanaQ深夜自爆「童年性侵」創傷：我很矛盾是真的,2025-03-08
政治,又來了！8顆中共「空飄氣球」來亂　闖我北中空域擾台,2025-03-08
國際,日本草莓大福「驗出諾羅病毒」！他吃完便當亡　破百人集體吐瀉,2025-03-08
娛樂,影音／典典寶寶爆紅劉亮佐要封臉　到處被認出「不讓她進演藝圈」,2025-03-08
政治,HBL總決賽！賴清德探班永仁女籃　親送飲料喊：把冠軍帶回家,2025-03-08
娛樂,影音／吳宗憲批大鶴吳姍儒嘆造謠難免　撇受委屈：哄小孩才是,2025-03-08
國際,太凍齡！日5寶辣媽同框高中女兒　「姊妹照」5500萬人朝聖,2025-03-08
娛樂,金哈克曼死因出爐！重度失智死於心臟病　生前不知妻已過世一周,2025-03-08
生活,「可以不信政府但請相信台積電」　財經專家：赴美不會錯,2025-03-08
國際,要再當deal maker？川普自曝致函伊朗領袖　盼就核協議談判,2025-03-08
社會,董座砍殺技術長！雲云科技發「147字聲明」：極度悲痛與遺憾,2025-03-08
社會,快訊／台中外送員遭撞血濺一地慘死　駕駛逃了疑「留下水箱罩」,2025-03-08
生活,終於威脅普欽！俄狂轟烏克蘭　川普揚言對俄祭出制裁,2025-03-08
生活,烘爐地聽詭異女聲！神秘翁突喊「等你很久」　網發毛：祂在保護你,2025-03-08
國際,王毅談2758決議喊「中國台灣省」　美國務院批：刻意扭曲,2025-03-08
國際,喵的奇幻撞擊！強國貓碰瓷玩真的　整個人摔到360度大翻車,2025-03-08
生活,台積電3兆赴美投資　經長郭智輝坦言：政府事先不知,2025-03-08
社會,玉石俱焚！雲云科技董座殺技術長吞刀刺穿頸　撿回一命ICU觀察中,2025-03-08
生活,抖音神曲〈跳樓機〉爆紅！網友惡搞變大怒神　全場笑翻：完全不一樣,2025-03-08
社會,雲云技術長「最後告別信」！千字血淚遺書　怒槓老闆：潑一身髒水,2025-03-08
社會,勒斃馬國女大生！縱火奪8命判無期　律師喊不公平：他只殺1人也無期,2025-03-08
娛樂,不只侯佩岑！歐陽娜娜也表態了　《難哄》陳昊森：只有一個中國,2025-03-08
健康,抗焦慮這樣吃！醫點名「1類食物」鎂含量最高　黑巧克力僅排第二,2025-03-08
社會,雲云科技砍人「關鍵錄音檔」曝！老闆帶頭霸凌　技術長痛喊：人之將死其言也善,2025-03-08
社會,債務問題變暴力　高雄民宅暗夜遭車撞破門、蛋砸一整地,2025-03-08
生活,ICU醫警告「14住院NG行為」　護理師氣炸：最討厭選媳婦眼神,2025-03-08
生活,一週天氣預報》全台天氣變化、未來氣溫及降雨機率一次看,2025-03-08
娛樂,《海灘遊俠》女星家中離世！生前最後貼文曝光　前夫悲痛發聲,2025-03-08
社會,提離職反丟命！雲云科技技術長遭董座砍殺　妻做筆錄沉默離開,2025-03-08
國際,行李箱藏恐怖「人體空殼」！內臟全遭摘除　俄警不排除食人可能,2025-03-08
生活,天氣／北台灣明晨前仍有雨！下週強冷空氣襲台恐達寒流等級,2025-03-08
國際,再提台灣「偷走」晶片產業　川普態度軟化反讚台積電：算他們厲害,2025-03-08
生活,地牛翻身！花蓮4.1「極淺層地震」　5縣市有感、最大震度4級,2025-03-08
娛樂,周興哲參戰香港高球賽奪亞軍　和大咖球星組隊嗨喊：圓夢了,2025-03-08
食尚,王品3大燒肉「百元有找」！和牛免費吃　加碼再抽鑽石項鍊,2025-03-08
健康,簡單DIY降血壓茶！醫大推「1飲品＋綠茶」是高血壓剋星,2025-03-08
體育,東超／讓全世界認識他！盧峻翔飆分率隊晉冠軍賽　賽後被國際媒體包圍,2025-03-08
生活,苦命薄唇秒變千金好命！學會這招　輕鬆擁有整型級「6D漫畫唇」,2025-03-08
健康,最強解毒劑！醫大讚「1蔬菜」可排體內重金屬　降血壓還抗癌,2025-03-08
娛樂,NanaQ反擊薔薔！怒揭「4不實指控」　曬腳本澄清：不敢反抗,2025-03-08
生活,還有機會！大樂透「頭獎上看1.3億」　3/7中獎號碼出爐,2025-03-08
娛樂,健身房取消24hr又收回　館長怨會員沒血淚：民進黨迫害我,2025-03-08
社會,3年前挖角技術長！雲云科技董事長「殺機曝光」　警公開到場畫面,2025-03-08
生活,你也遇過嗎？網友熱議職場老鳥「6大行為」　讓人討厭想逃,2025-03-08
娛樂,派翠克神模仿「釣出GD本龍按讚」！網喊台灣之光…小S出現了,2025-03-08
體育,東超／新北國王不敵廣島蜻蜓「第四節只拿5分」　主帥談輸球原因,2025-03-08
娛樂,好煩喔！藝聲丟禮物「手鐲都飛了」　驚呼台北這地點：天國的階梯,2025-03-08
政治,台灣2統一教徒「在陸被捕」　海基會證實：發函對岸溝通,2025-03-08
社會,王大陸教唆扁司機　打人主謀「四海幫小阿俊」遭到聲押,2025-03-08
社會,老闆砍死技術長！雲云科技爆凶殺案　公司產品「陳傑憲也愛用」,2025-03-08
體育,東超／外媒問參戰聯賽效應？　新北國王教頭：台籃地位提升,2025-03-08
汽車,特斯拉20週年紀念！「限量模型組」亮相　收錄七款經典車型,2025-03-08
社會,比特犬突躍車窗咬傷騎士！飼主恐挨罰　北市動保處調查中,2025-03-08
娛樂,Akira街舞節目狂撒廣告包下西門町2大牆！　「上下顛倒」搞烏龍內幕曝,2025-03-08
體育,東超／不敵廣島蜻蜓81比65吞敗　新北國王爭冠路止步,2025-03-08
健康,1個月狂瘦10公斤！陸女跳繩減重突「爆肺」　醫示警4類人注意,2025-03-08
社會,提離職遭雲云科技董座砍死！技術長身分曝光　曾嘆：抓耙仔到處都是,2025-03-08
娛樂,蹭Jisoo商機　黃牛好敢開天價代購費曝光,2025-03-08
政治,斷言賴清德民調「半年內死亡交叉」！他示警1事：台積電也跑了,2025-03-08
健康,肌肉流失卻不自知？專家教「3招自測」　隨時掌握身體狀態,2025-03-08
娛樂,松重豐為擔仔麵空腹來台！　《孤獨的美食家》出現「這菜」就停拍,2025-03-08
社會,北市精舍命案偵結！被害家屬發聲求法官：所有嫌犯都處重刑,2025-03-08
娛樂,宋逸民夫妻率眾傳愛！主播重度憂鬱「驚人翻轉」　50位藝人齊發光,2025-03-08
生活,天選之星！4星座「眾人矚目」處處開外掛　事業愛情全掌握,2025-03-08
政治,搶救葉元之！傳朱立倫下令「禁上綠媒政論」　知情人爆：加強地方經營,2025-03-08
生活,天氣／又要劇烈變天！鋒面猛襲「雨狂炸」　挑戰寒流急凍時間曝,2025-03-08
生活,去日本「千萬別買1飲料」！他發文勸世　網共鳴：喝一次就嚇到,2025-03-08
娛樂,佩甄尪考慮幫「私處增大」！曝客人要求超狂尺寸　堅決不合夥藝人,2025-03-08
生活,六福村斥資12億！「蘇丹王大冒險」被讚最好玩　停運多年原因曝,2025-03-08
體育,專訪／東超四強吳建豪帥氣亮相　不跟林書豪一對一單挑：怕讓他難看,2025-03-08
科技,Manus AI是什麼？邀請碼申請？與ChatGPT、Deepseek比較一覽,2025-03-08
食尚,台南私藏佛心價美食！乾麵、餛飩湯「只要20元」根本月底救星,2025-03-08
生活,忘帶錢包悠遊卡免驚！中捷1招還可半價搭  好康到月底,2025-03-08
社會,獨／想當發爾麵？疑多次「冒充義消」闖火場　台中男身分曝,2025-03-08
社會,女網戀敘利亞將軍！送20萬給車手　竟是獨居老婦妄想嫁總裁,2025-03-08
娛樂,《愛你》線上看｜張凌赫飾深情中醫，分集劇情、播出時間一次看,2025-03-08
政治,護國神山變「半屏山」？  張啓楷控賴政府：沒護好台積電,2025-03-08
社會,快訊／北市信義區商辦大樓爆砍人　1男後頸中刀送醫不治,2025-03-08
生活,金逆強碰水逆！命理師警告「點名台灣」：當心大型天災,2025-03-08
生活,吉伊卡哇角色全解析！人氣排名、角色名字、生日個性一次看,2025-03-08
國際,大逆轉！三人看球後陳屍後院原以為凍死　一查竟是死於吸毒,2025-03-08
政治,出事了！海軍軍艦執行76快砲射擊訓練爆「膛炸」意外　最新狀況曝,2025-03-08
娛樂,等了3年！莎拉布萊曼7月來台開唱　實名制售票防黃牛,2025-03-08
政治,艦上畫面曝光！張騫艦76快砲打靶訓練突「膛炸」　海軍調查肇因,2025-03-08
生活,30歲男車禍肚子腫一包！醫一照驚見「肚皮裂開」：腸子整段爆出,2025-03-08
國際,有片／歐廉航起飛後「機翼突噴火」急改降　目擊乘客全嚇傻,2025-03-08
娛樂,「花系列惡女」分手16年男友！梁家榕親揭情變內幕：感情殺手,2025-03-08
國際,汽車網紅狠揭5車型他絕不買！歐洲豪車全躺槍　引擎、油耗挨批,2025-03-08
娛樂,孟耿如分享英語學習平台遭網友抵制　TutorABC發聲明切割,2025-03-08
社會,曝LINE截圖被王定宇求償180萬　葛斯齊聲請傳喚女主角前夫,2025-03-08
娛樂,GD權志龍演唱會2025》巡演時間地點、門票搶票資訊不斷更新,2025-03-08
社會,趁月黑風高「餵狗吃農藥」！　惡男落網認：死掉就不會吵了,2025-03-08
政治,王毅喊「中國台灣省」　陸委會：互不隸屬是台海客觀現狀,2025-03-08
娛樂,《來吧！哪裡怕》兩度低溫嗨玩「急凍野球拳」　阿緯爆：最後一次出現,2025-03-08
娛樂,王大陸狂出事！命理師斷言「倒楣透頂」：演藝事業徹底斷盡,2025-03-08
娛樂,展現野性精神！戴曉君新輯揚名國際　下一站前進澳洲開唱,2025-03-08
娛樂,Jisoo見面會2025桃園｜搶票時間出爐！門票價錢、粉絲福利一次看,2025-03-08
娛樂,胡瓜砸2千萬打造「鑽石舞台之夜」圓夢！　淚曝幕後血汗秘辛,2025-03-08
娛樂,王大陸狂出事重創形象　王淨曝「真實交情」：我的智慧無法回答,2025-03-08
生活,起床老是疲憊嗜睡！全台40萬人患這病恐不自知　死亡率增2.5倍,2025-03-08
政治,柯爸3/10告別式「採喜喪佈置」　傳藍綠2大咖將出席,2025-03-08
社會,割頸案二審開庭「被乾哥狠瞪」！死者父氣哭求重判：你憑什麼？,2025-03-08
社會,有片／保時捷跑車2輪爆胎沿路直直撞6車　駕駛疑「吃安眠藥」,2025-03-08
社會,「騙我有15公分」！男男約戰他偷拔套衝刺　挨告下場慘了,2025-03-08
社會,全台酒駕死傷人數5縣市不減反增　連江縣「增近3倍」,2025-03-08
娛樂,女神卡卡回歸歌壇！甜謝未婚夫助攻　揭夢想求婚：只要一片草葉,2025-03-08
體育,大聯盟近在眼前！鄭宗哲手感火熱　台4將入選新秀對抗賽,2025-03-08
生活,台遊客搭地鐵「1舉動」...日本人秒變臉捂鼻　他怒噴：有夠丟臉,2025-03-08
社會,毒品價格談不攏？花蓮男遭4男持「西瓜刀夜襲」　斷指噴血,2025-03-08
生活,哈根達斯跳水價！全聯「大桶裝才199」　7-11加1元多1杯,2025-03-08
娛樂,哈孝遠5病纏身！跛腳行走畫面曝　停止呼吸80次爆「有性功能障礙」,2025-03-08
社會,快訊／陳佩琪下午抵北所！替柯文哲提出「奔喪」申請　北所這樣說,2025-03-08
娛樂,2025大港開唱卡司陣容全出爐！閃靈壓軸登場，門票資訊一次看,2025-03-08
體育,東超／前中國球星現身澳門　對「野獸」印象超深：林志傑老大哥,2025-03-08
生活,壽山動物園黑熊兄弟慶生　「波比」聽演奏生日曲萌起立搖擺,2025-03-08
國際,台灣女新千歲機場遇性騷　男安檢員環抱捏胸被逮辯稱「不記得」,2025-03-08
娛樂,侯佩岑發文表態：台灣唯一稱謂就是中國台灣省　上百藝人跟轉央視文,2025-03-08
娛樂,陸媒爆「鋒菲戀型明星情侶」世紀復合！身分線索曝光　網狂點名2對,2025-03-08
國際,有片／歹徒搶劫遇「空手道女高手」　被高跟鞋猛踢3秒倉皇逃跑,2025-03-08
政治,林岱樺涉詐助理費！釋煌智「不服羈押抗告」　法院裁定駁回,2025-03-08
生活,睡覺總被蚊子嗡嗡聲吵醒超氣！她分享一驅蚊妙招：屢試不爽,2025-03-08
生活,天氣／週末回暖至下週三！週四至週日鋒面接近　雨增再轉涼,2025-03-08
體育,東超／新北國王四強今晚登場！林書豪曝上場「1關鍵」：只想享受它,2025-03-08
生活,提離職人資拋1理由要她「返還年終」　OL傻眼：從來不知道,2025-03-08
健康,10歲男童滑短影音害「注意力下降」！　醫曝3招找回專注度,2025-03-08
生活,忙到翻「月薪不到3萬」！她哭找同溫層　網見1職業搖頭：超吃虧,2025-03-08
社會,高雄男落入泰妹桃色陷阱　遭詐900萬「房沒了」飛泰國報案,2025-03-08
